"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gpd1"	9672.024615	0.889597272	0.176299759	5.045935831	4.51e-07	0.000165914
"Cela1"	366.2844707	1.759203099	0.311590447	5.645882647	1.64e-08	9.26e-06
"Atg101"	921.2775388	0.633829548	0.198641238	3.190825598	0.001418669	0.084264937
"Mgrn1"	4489.702885	0.194808901	0.06208511	3.137771671	0.001702374	0.095543172
"Tekt5"	92.92400885	-2.624071372	0.657789672	-3.989225557	6.63e-05	0.00889698
"Pkp2"	603.0960009	1.39025613	0.306736118	4.532417437	5.83e-06	0.001429163
"Comt"	6393.720643	0.528023225	0.077040771	6.853815417	7.19e-12	1.35e-08
"Snora81"	16.75558828	6.392179349	1.759516301	3.632918515	0.000280234	0.026262161
"Fgf12"	103.9667917	1.688271576	0.416253265	4.055875876	4.99e-05	0.007541518
"Bdh1"	212.2120967	-1.06896529	0.307883112	-3.471984167	0.000516627	0.041210735
"Tfrc"	1544.958221	0.594601658	0.167271207	3.554716123	0.000378387	0.033502142
"Ifnar2"	2487.956741	0.362304313	0.108345707	3.343965575	0.0008259	0.057476512
"Slc5a3"	4690.55922	0.382672158	0.106418429	3.595920028	0.000323247	0.029871212
"Hmgn1"	5471.731394	-0.210263437	0.06372192	-3.299703392	0.000967871	0.064439608
"T2"	9.070566468	5.880941679	1.850135691	3.17865425	0.001479605	0.086068785
"Zfp820"	126.8746456	1.656008379	0.385803541	4.292361791	1.77e-05	0.003418631
"Igfals"	352.510179	2.015746743	0.489523512	4.117773087	3.83e-05	0.006103133
"Hnrnpm"	6569.82186	-0.271482094	0.074321667	-3.65279875	0.000259398	0.024924271
"Angptl4"	5967.52325	1.209874178	0.196979177	6.142142514	8.14e-10	8.61e-07
"Cdsn"	730.1192531	2.771442538	0.698791234	3.966052238	7.31e-05	0.009433092
"Abcc10"	571.8772473	-0.631369149	0.188092935	-3.356687204	0.000788823	0.05558244
"Slc5a7"	452.0745011	6.350376681	0.942371645	6.73871791	1.6e-11	2.46e-08
"Cdkl4"	60.78844143	4.145497024	1.177982021	3.519151354	0.00043293	0.036424245
"Mpp7"	697.3227332	0.975172196	0.195641875	4.984475822	6.21e-07	0.000210136
"Reep5"	16711.96977	0.292533809	0.065677598	4.454088127	8.43e-06	0.001925351
"Wdr55"	357.0821836	-0.780614278	0.197213033	-3.958228647	7.55e-05	0.009458593
"Eif1a"	2114.77436	0.555493056	0.152466828	3.643369939	0.000269092	0.025565219
"Hsd17b4"	5182.676869	0.539118617	0.128440695	4.197412804	2.7e-05	0.004805956
"Ppic"	1348.501055	0.713913005	0.202686331	3.522255307	0.000427892	0.036180395
"Iigp1"	1066.702196	-2.178899156	0.6641216	-3.280873796	0.00103486	0.066795893
"Ltbp3"	7713.652019	0.674301477	0.150530659	4.479495959	7.48e-06	0.001757323
"Prdx5"	5356.634363	0.527795242	0.102188042	5.164941335	2.41e-07	9.7e-05
"Fads3"	6181.028959	0.84270158	0.110729131	7.610477689	2.73e-14	1.54e-10
